Tonikaku Kawaii,TONIKAWA: Over The Moon For You,Tonikaku-Kawaii.mp4,2395093
Toradora!,Toradora!,Toradora!.mp4,9571711
Tsuki ga Michibiku Isekai Douchuu,Tsukimichi -Moonlit Fantasy-,Tsuki-ga-Michibiku-Isekai-Douchuu.mp4,828187
Tsurezure Children,Tsuredure Children,Tsurezure-Children.mp4,413753
"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.","If It's for My Daughter, I'd Even Defeat a Demon Lord","Uchi-no-Ko-no-Tame-naraba,-Ore-wa-Moshikashitara-Maou-mo-Taoseru-kamo-Shirenai..mp4",316911
Wu Liuqi: Xuanwu Guo Pian,Scissor Seven (2021),Wu-Liuqi:-Xuanwu-Guo-Pian.mp4,37187
Wu Liuqi: Zui Qiang Fa Xing Shi,Scissor Seven (2019),Wu-Liuqi:-Zui-Qiang-Fa-Xing-Shi.mp4,1054565
Yakusoku no Neverland,The Promised Neverland,Yakusoku-no-Neverland.mp4,1474122
Yofukashi no Uta,Call of the Night,Yofukashi-no-Uta.mp4,1513259
Youjo Senki,Saga of Tanya the Evil,Youjo-Senki.mp4,5206237
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Classroom of the Elite,Youkoso-Jitsuryoku-Shijou-Shugi-no-Kyoushitsu-e.mp4,4145585
"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",Beast Tamer,"Yuusha-Party-wo-Tsuihou-sareta-Beast-Tamer,-Saikyoushu-no-Nekomimi-Shoujo-to-Deau.mp4",131039
"Yuusha, Yamemasu",I'm Quitting Heroing,"Yuusha,-Yamemasu.mp4",181789
Zero no Tsukaima,The Familiar of Zero,Zero-no-Tsukaima.mp4,405827
